Sequence,Manufacturing Part No,Description,Qty,Manufacturer,Location
1,CR-2016/BN,BATTERY LITHIUM 3V COIN 20MM,1,PANASONIC,OnB1
2,C0805C829D5GACTU,CAP CER 8.2PF 50V NP0 0805,1,KEMET,C8
3,500R15N100JV4T,CAP CER 10PF 50V NP0 0805,1,JOHANSON,C7
4,C0805C101J5GACTU,CAP CER 100PF 50V NP0 0805,1,KEMET,C10
5,GRM216R71H103KA01D,CAP 0.01UF 50V 10% X7R 0805,1,MURATA,C9
6,C0805C104K5RACTU,CAP 0.1UF 50V 10% X7R 0805,12,KEMET,C1;C2;C3;C4;C5;C6;C11;C12;C14;C15;C18;C20
7,C2012X7R1H474K125AB,CAP CER 0.47UF 50V 10% X7R 0805,2,TDK,C13;C17
8,C0805C105K4RACTU,CAP 1UF 16V 10% X7R 0805,1,KEMET,C16
9,GRM21BR71A106MA73L,CAP CER 10UF 10V X7R 0805,1,MURATA,C19
10,1771130,CONN TERM BLK 6POS 2.5MM SMD,3,PHOENIX CONTACT,J1;J2;J3
11,SM09B-NSHSS-TB (LF)(SN),CONN HEADER SMD R/A 9POS 1MM,1,JST SALES,J4
12,878321210,CONN HEADER SMD 12POS 2MM,1,MOLEX|MOLEX|,J5
13,PMEG6002EJ;115,DIODE SCHOTTKY 60V 200MA SOD323F,1,NXP,D1
14,SMAZ5V6-13-F,DIODE ZENER 5.6V 1W SMA,1,DIODES INC,D3
15,RB520S30T5G,DIODE SCHOTTKY 30V 200MA SOD523,1,ON SEMI,D4
16,BZG05C3V3-M3-08,DIODE ZENER 3.3V 1.25W DO214AC,4,VISHAY,D5;D6;D7;D8
17,1SMA5914BT3G,DIODE ZENER 3.6V 1.5W SMA,1,ON SEMI,D2
18,BAT-HLD-002-SMT,BATTERY RETAINER CR2016 SMD,1,LINX,B1
19,MCP79412-I/SN,IC RTC CLK/CALENDAR I2C 8-SOIC,1,MICRO CHIP TECH,U8
20,24LC256T-E/SN,IC EEPROM 256KBIT 400KHZ 8SOIC,1,MICRO CHIP TECH,U1
21,MC14541BDR2G,IC OSC PROG TIMER 3MHZ 14SOIC,1,ON SEMI,U7
22,SN74HCT74DR,IC FF D-TYPE DUAL 1BIT 14SOIC,1,TI,U10
23,TXS0108EPWR,IC TRNSLTR BIDIRECTIONAL 20TSSOP,1,TI,U3
24,NL37WZ06USG,IC INVERTER OD 3CH 3-INP US8,1,ON SEMI,U6
25,TPL5010DDCR,IC OSC PROG TIMER TSOT23-6,1,TI,U5
26,PCA9554APW;118,IC I/O EXPANDER I2C 8B 16TSSOP,1,NXP,U4
27,LP55231SQE/NOPB,IC LED DRIVER RGLTR DIM 24WQFN,1,TI,U9
28,LTST-C171KRKT,LED SUPER RED CLR THIN 0805 SMD,1,LITE-ON,LED2
29,LTST-C171GKT,LED GREEN CLEAR THIN 0805 SMD,1,LITE-ON,LED1
30,CM200C32768EZFT,CRYSTAL 32.7680 KHZ   10ppm 12.5pF 50 kOhm -40¦C - 85¦C,1,CITIZEN,Y1
31,RK73B2ATTD151J,RES 150 OHM 1/8W 5% 0805,9,KAO SPEER,R1;R2;R3;R4;R5;R6;R7;R8;R9
32,ERJ-P06J331V,RES 330 OHM 5% 1/2W 0805,4,PANASONIC,R29;R33;R34;R36
33,ESR10EZPJ102,RES 1.0K 1/4W 5% 0805,3,ROHM CORP,R11;R12;R18
34,ERJ-6ENF1002V,RES 10.0K 1/8W 1% 0805,15,PANASONIC,R13;R14;R15;R16;R17;R23;R24;R25;R26;R30;R31;R32;R35;R37;R38
35,ERJ-6ENF2202V,RES 22K OHM 1% 1/8W 0805,1,PANASONIC,R19
36,RC0805FR-0740K2L,RES 40.2K OHM 1% 1/8W 0805,1,YAGEO,R20
37,RC0805FR-07100KL,RES 100K OHM 1% 1/8W 0805,1,YAGEO,R10
38,ERJ-6ENF3303V,RES 330K 1/8W 1% 0805,2,PANASONIC,R21;R22
39,RK73H2ATTD1004F,RES 1M 1/8W 1% 0805,3,KAO SPEER,R27;R28;R39
40,BME280,SENSOR PRESSURE HUMIDITY TEMP,1,BOSCH,U2
